,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
4639,24.0,23.339844,1.4003906,1.4108887,2025:02:22 11:48:00,2025:02:22 11:49:00,UTC+0100,2,Eindhoven
4653,8.0,6.01,1.2777778,0.32,2025:02:22 11:48:00,2025:02:22 11:49:00,UTC+0100,2,Eindhoven
4654,18.0,13.0234375,0.7814062,0.6477051,2025:02:22 12:15:00,2025:02:22 12:16:00,UTC+0100,2,Eindhoven
4659,34.0,25.54,1.3055556,1.29,2025:02:22 12:15:00,2025:02:22 12:16:00,UTC+0100,2,Eindhoven
4655,26.0,20.058594,1.2035156,0.84606934,2025:02:22 12:16:00,2025:02:22 12:17:00,UTC+0100,2,Eindhoven
4660,19.0,13.95,1.1944444,0.7,2025:02:22 12:16:00,2025:02:22 12:17:00,UTC+0100,2,Eindhoven
4656,2.0,1.4765625,0.08859375,0.07299805,2025:02:22 12:17:00,2025:02:22 12:18:00,UTC+0100,2,Eindhoven
4657,37.0,30.136719,1.8082031,1.6557617,2025:02:22 12:18:00,2025:02:22 12:19:00,UTC+0100,2,Eindhoven
4661,33.0,24.87,1.3333334,1.26,2025:02:22 12:18:00,2025:02:22 12:19:00,UTC+0100,2,Eindhoven
4658,48.0,41.828125,2.5096874,2.0413818,2025:02:22 12:19:00,2025:02:22 12:20:00,UTC+0100,2,Eindhoven
4662,49.0,36.18,1.25,1.88,2025:02:22 12:19:00,2025:02:22 12:20:00,UTC+0100,2,Eindhoven
4663,51.0,37.99,1.25,1.99,2025:02:22 12:20:00,2025:02:22 12:21:00,UTC+0100,2,Eindhoven
4664,50.0,37.558594,2.2535157,1.7420654,2025:02:22 12:20:00,2025:02:22 12:21:00,UTC+0100,2,Eindhoven
4665,13.0,9.433594,0.5660156,0.45825195,2025:02:22 12:21:00,2025:02:22 12:22:00,UTC+0100,2,Eindhoven
4666,30.0,22.042969,1.3225781,1.0780029,2025:02:22 12:37:00,2025:02:22 12:38:00,UTC+0100,2,Eindhoven
4682,26.0,18.64,1.0555556,0.99,2025:02:22 12:37:00,2025:02:22 12:38:00,UTC+0100,2,Eindhoven
4667,65.0,48.84375,2.930625,2.3295898,2025:02:22 12:38:00,2025:02:22 12:39:00,UTC+0100,2,Eindhoven
4683,53.0,39.7,1.2777778,2.01,2025:02:22 12:38:00,2025:02:22 12:39:00,UTC+0100,2,Eindhoven
4668,46.0,33.808594,2.0285156,1.5825195,2025:02:22 12:39:00,2025:02:22 12:40:00,UTC+0100,2,Eindhoven
4684,51.0,37.68,1.1944444,1.98,2025:02:22 12:39:00,2025:02:22 12:40:00,UTC+0100,2,Eindhoven
4669,11.0,8.527344,0.5116406,0.42199707,2025:02:22 12:40:00,2025:02:22 12:41:00,UTC+0100,2,Eindhoven
4685,38.0,28.32,1.2777778,1.46,2025:02:22 12:40:00,2025:02:22 12:41:00,UTC+0100,2,Eindhoven
4670,22.0,16.417969,0.9850781,0.77770996,2025:02:22 12:41:00,2025:02:22 12:42:00,UTC+0100,2,Eindhoven
4686,62.0,47.62,1.3611112,2.32,2025:02:22 12:41:00,2025:02:22 12:42:00,UTC+0100,2,Eindhoven
4671,5.0,3.875,0.2325,0.17285156,2025:02:22 12:42:00,2025:02:22 12:43:00,UTC+0100,2,Eindhoven
4687,2.0,1.49,1.25,0.08,2025:02:22 12:42:00,2025:02:22 12:43:00,UTC+0100,2,Eindhoven
4672,23.0,16.679688,1.0007813,0.81555176,2025:02:22 12:43:00,2025:02:22 12:44:00,UTC+0100,2,Eindhoven
4688,33.0,24.15,1.2222222,1.25,2025:02:22 12:43:00,2025:02:22 12:44:00,UTC+0100,2,Eindhoven
4673,35.0,25.5,1.53,1.2265625,2025:02:22 12:44:00,2025:02:22 12:45:00,UTC+0100,2,Eindhoven
4689,43.0,32.32,1.3333334,1.55,2025:02:22 12:44:00,2025:02:22 12:45:00,UTC+0100,2,Eindhoven
4674,21.0,15.671875,0.9403125,0.734375,2025:02:22 12:46:00,2025:02:22 12:47:00,UTC+0100,2,Eindhoven
4690,49.0,36.76,1.4166666,1.73,2025:02:22 12:46:00,2025:02:22 12:47:00,UTC+0100,2,Eindhoven
4675,0.0,0.0,0.0,0.0,2025:02:22 12:47:00,2025:02:22 12:48:00,UTC+0100,2,Eindhoven
4691,29.0,21.7,1.3333334,1.07,2025:02:22 12:47:00,2025:02:22 12:48:00,UTC+0100,2,Eindhoven
4676,23.0,22.964844,1.3778906,0.0,2025:02:22 12:48:00,2025:02:22 12:49:00,UTC+0100,2,Eindhoven
4692,24.0,18.43,1.3888888,0.83,2025:02:22 12:48:00,2025:02:22 12:49:00,UTC+0100,2,Eindhoven
4677,39.0,30.363281,1.8217969,0.0,2025:02:22 12:49:00,2025:02:22 12:50:00,UTC+0100,2,Eindhoven
4693,51.0,38.1,1.25,1.83,2025:02:22 12:49:00,2025:02:22 12:50:00,UTC+0100,2,Eindhoven
